[2099 2142]
[2285 2285]
[2378 2474]
[2557 2906]
[2932 2989]
[3044 3086]
[3152 3194]
[3809 4011]
[4013 4103]
[4465 4564]
[4609 4746]
[4844 5002]
[5075 5189]
[5450 5514]
[5604 5846]
[5848 5875]
[6269 6323]
[6439 7106]
[8057 8117]
[8277 8390]
[8549 8826]
[9800 10687]
[10966 11250]
[11506 11680]
[12925 13495]
[13497 13594]
[13596 13867]
[14328 14434]
[14580 14741]
[15906 15972]
[16153 16754]
[16756 18351]
[18353 18430]
[18480 18595]
[19261 19778]
[19868 20207]
[20753 21305]
[21550 21573]
[21701 21838]
[22017 22079]
[22504 22894]
[23033 23132]
[23314 24360]
[24509 24618]
[24699 24847]
[26537 26735]
[28289 28382]
[28684 28979]
[29936 30074]
[31355 31598]
[31713 31762]
[34608 34674]
[34741 34776]
[35029 35486]
[36565 36952]
[37051 37348]
[37385 37466]
[37669 37935]
[38541 38626]
[38678 39058]
[39419 39441]
[39611 39710]
[39898 40183]
[40370 40690]
[40816 40853]
[41099 41210]
[43632 43695]
[43922 44078]
[44169 44523]
[44599 45067]
[45069 45431]
[45579 46215]
[46442 46703]
[53069 53122]
[53606 53647]
[53649 54207]
[55086 55636]
[56093 56236]
[56842 57131]
[57490 57638]
[58340 58506]
[58789 58830]
[58966 59133]
[59479 60066]
[60353 60566]
[61804 61958]
[62001 62133]
[62193 62352]
[62686 62721]
[62869 62944]
[63242 63661]
[63965 64322]
[64324 64414]
[64534 64648]
[67771 67870]
[68164 68275]
[69577 69658]
[69805 70198]
[70425 70491]
[70493 70611]
